Index,Hunt,Prey
0,11,19
1,13,17
2,13,17
3,13,17
4,13,17
5,13,17
6,13,17
7,13,17
8,13,17
9,13,17
10,12,17
11,12,17
12,12,17
13,12,17
14,12,17
15,12,17
16,12,17
17,12,17
18,12,17
19,12,17
20,12,17
21,12,17
22,12,17
23,12,17
24,13,16
25,13,16
26,13,16
27,13,16
28,13,16
29,13,16
30,13,16
31,13,16
32,13,16
33,13,16
34,13,16
35,13,16
36,13,16
37,13,16
38,13,16
39,13,16
40,12,16
41,12,16
42,12,16
43,12,16
44,12,16
45,12,16
46,12,16
47,12,16
48,12,16
49,12,16
50,12,16
51,12,16
52,12,16
53,12,16
54,12,16
55,12,16
56,12,16
57,12,16
58,12,16
59,12,16
60,12,16
61,12,16
62,12,16
63,12,16
64,12,16
65,12,16
66,12,16
67,12,16
68,12,16
69,12,16
70,12,16
71,12,16
72,12,16
73,12,16
74,12,16
75,12,16
76,12,16
77,12,16
78,12,16
79,12,16
80,12,16
81,12,16
82,12,16
83,11,16
84,11,16
85,11,16
86,11,16
87,12,15
88,12,15
89,12,15
90,11,15
91,11,15
92,10,15
93,10,15
94,10,15
95,10,15
96,10,15
97,10,15
98,10,15
99,10,15
100,10,15
101,10,15
102,10,15
103,10,15
104,10,15
105,10,15
106,10,15
107,10,15
108,10,15
109,10,15
110,10,15
111,10,15
112,10,15
113,10,15
114,10,15
115,10,15
116,10,15
117,10,15
118,10,15
119,10,15
120,10,15
121,10,15
122,10,15
123,10,15
124,10,15
125,10,15
126,10,15
127,10,15
128,10,15
129,10,15
130,10,15
131,10,15
132,10,15
133,10,15
134,10,15
135,10,15
136,10,15
137,10,15
138,10,15
139,10,15
140,10,15
141,10,15
142,10,15
143,10,15
144,10,15
145,10,15
146,10,15
147,10,15
148,10,15
149,10,15
150,11,14
151,11,14
152,11,14
153,11,14
154,11,14
155,11,14
156,11,14
157,11,14
158,11,14
159,11,14
160,11,14
161,11,14
162,11,14
163,11,14
164,11,14
165,11,14
166,11,14
167,11,14
168,11,14
169,11,14
170,11,14
171,11,14
172,10,14
173,10,14
174,10,14
175,10,14
176,10,14
177,10,14
178,10,14
179,10,14
180,10,14
181,10,14
182,10,14
183,10,14
184,10,14
185,9,14
